"Reference","Qty","Value","DNP","Exclude from BOM","Datasheet","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Value 2M","Description"
"BANK_EB1,BANK_NA1,BANK_NB1","3","B-V-20-LF","","","","B-V-20-LF","","","",""
"BANK_MISC1","1","P-B-V-34-LF","","","","P-B-V-34-LF","","","",""
"C1,C2,C3,C4,C5,C6,C7,C8,C43,C47,C58,C62,C66,C68,C73,C78,C106,C107","18","2.2uF/6.3V/20%/X5R/C0402","","","","GRM155R60J225ME15D","","","",""
"C9,C10,C11,C12,C13,C14,C15,C16,C30,C42,C44,C46,C48,C59,C63,C67,C70,C75,C82,C85,C86,C87,C89,C90,C91,C92,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C108,C109","40","100nF","","","","GRM155R71C104KA88D","","","",""
"C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,C33,C34,C35,C36,C37,C38,C41,C45,C49,C50,C51,C52,C53,C54,C55,C56,C57,C60,C61,C64,C65,C69,C71,C72,C74,C76,C77,C79,C80,C81","45","1nF/50V/10%/X7R/C0402","","","","GRM155R71H102KA01D","","","",""
"C39,C40,C126","3","10uF","","","","GRM155R60J106ME44D","","","",""
"C83,C112,C114,C118,C120,C124","6","22uF","","","","GRM188R60J226MEA0D","","","",""
"C84","1","NA(100nF)","DNP","","","GRM155R61A104KA01D","","","100nF/10V/20%/X5R/C0402",""
"C88","1","22uF","","","","GRM188R60J226MEA0D","","","",""
"C93","1","NA/C0402","","","","NEEDS_VALUE","","","",""
"C110,C111","2","18pF/50V/5%/C0G/C0402","","","","GRM1555C1H180JA01D","","","",""
"C113,C115,C119,C121,C125","5","47uF","","","","GRM21BR60J476ME15L","","","",""
"C116,C117,C122,C123","4","NA(2.2uF/6.3V/20%/X5R/C0402)","DNP","","","GRM155R60J225ME15D","","","",""
"C127,C128","2","22uF","DNP","","","GRM188R60J226MEA0D","","","",""
"CFG_DONE_LED1,FPGA_LED1","2","LED/GREEN/0603","","","","LTST-C190KGKT","","","",""
"CFG_FAILED_LED1,FPGA_RST_LED1,PWR_LED1","3","LED/RED/0603","","","","LTST-C190KRKT","","","",""
"CFG_SET1","1","DSHP04TS-S","","","","DSHP04TS-S ","","https://jlcpcb.com/partdetail/XKBConnection-DSHP04TSS/C319050","",""
"CLK0_EN1,POR_EN1","2","H-WX-1x2-LF(Closed)","","","https://m.morethanall.com/images/products/August2018/DCG2AME650yo2wCUmrHu.pdf","H-WX-1x2-LF","","","",""
