"Reference","Qty","Value","Footprint","Package","DNP","Exclude from BOM","Datasheet","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Value 2M","Description"
"BANK_EB1,BANK_NA1,BANK_NB1","3","B-V-20-LF","OLIMEX_Connectors-FP:GBH-254-SMT-20","SMT-Header-20P","","","","HTSS-110-01-T-DV","","","","SMT Box Header 2x10 2.54mm - Samtec (alt: OLIMEX B-V-20-LF)"
"BANK_MISC1","1","P-B-V-34-LF","OLIMEX_Connectors-FP:GBH-254-SMT-34","SMT-Header-34P","","","","HTST-117-01-T-DV","","","","SMT Box Header 2x17 2.54mm - Samtec (alt: OLIMEX P-B-V-34-LF)"
"C1,C2,C3,C4,C5,C6,C7,C8,C43,C47,C58,C62,C66,C68,C73,C78,C106,C107","18","2.2uF/6.3V/20%/X5R/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","CL05A225MQ5NNNC","","","","Cap 2.2uF 6.3V 20% X5R 0402 - Samsung"
"C9,C10,C11,C12,C13,C14,C15,C16,C30,C42,C44,C46,C48,C59,C63,C67,C70,C75,C82,C85,C86,C87,C89,C90,C91,C92,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C108,C109","40","100nF","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","CL05B104KO5NNNC","","","","Cap 100nF 16V 10% X7R 0402 - Samsung"
"C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C31,C32,C33,C34,C35,C36,C37,C38,C41,C45,C49,C50,C51,C52,C53,C54,C55,C56,C57,C60,C61,C64,C65,C69,C71,C72,C74,C76,C77,C79,C80,C81","45","1nF/50V/10%/X7R/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","CL05B102KB5NNNC","","","","Cap 1nF 50V 10% X7R 0402 - Samsung"
"C39,C40,C126","3","10uF","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","CL05A106MQ5NUNC","","","","Cap 10uF 6.3V 20% X5R 0402 - Samsung"
"C83,C112,C114,C118,C120,C124","6","22uF","OLIMEX_RLC-FP:C_0603_5MIL_DWS","0603","","","","CL10A226MQ8NRNC","","","","Cap 22uF 6.3V 20% X5R 0603 - Samsung"
"C84","1","NA(100nF)","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","DNP","","","CL05B104KO5NNNC","","","100nF/10V/20%/X5R/C0402","DNP - Cap 100nF 16V 10% X7R 0402 - Samsung"
"C88","1","22uF","OLIMEX_RLC-FP:C_0603_5MIL_DWS","0603","","","","CL10A226MQ8NRNC","","","","Cap 22uF 6.3V 20% X5R 0603 - Samsung"
"C93","1","NA/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","","","","","DNP - Empty pad 0402"
"C110,C111","2","18pF/50V/5%/C0G/C0402","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","","","","CL05C180JB5NNNC","","","","Cap 18pF 50V 5% C0G 0402 - Samsung"
"C113,C115,C119,C121,C125","5","47uF","OLIMEX_RLC-FP:C_0805_5MIL_DWS","0805","","","","CL21A476MQYNNNE","","","","Cap 47uF 6.3V 20% X5R 0805 - Samsung"
"C116,C117,C122,C123","4","NA(2.2uF/6.3V/20%/X5R/C0402)","OLIMEX_RLC-FP:C_0402_5MIL_DWS","0402","DNP","","","CL05A225MQ5NNNC","","","","DNP - Cap 2.2uF 6.3V 20% X5R 0402 - Samsung"
"C127,C128","2","22uF","OLIMEX_RLC-FP:C_0603_5MIL_DWS","0603","DNP","","","CL10A226MQ8NRNC","","","","Cap 22uF 6.3V 20% X5R 0603 - Samsung"
"C129,C130,C131","3","0.1µF","New_Libary:C_0402_5MIL_DWS","0402","","","","CL05B104KO5NNNC","","","","Cap 100nF 16V 10% X7R 0402 - Samsung"
"CFG_DONE_LED1,FPGA_LED1","2","LED/GREEN/0603","OLIMEX_LEDs-FP:LED_0603_KA","0603","","","","150060GS75000","","","","LED Green 0603 2.0V 20mA - Wurth Elektronik"
"CFG_FAILED_LED1,FPGA_RST_LED1,PWR_LED1","3","LED/RED/0603","OLIMEX_LEDs-FP:LED_0603_KA","0603","","","","150060RS75000","","","","LED Red 0603 2.0V 20mA - Wurth Elektronik"
"CFG_SET1","1","DSHP04TS-S","OLIMEX_Buttons-FP:DSHP04TS-S-1.27mm_Half_4_Slide","DIP-Switch-4","","","","218-4LPSF","","","","4-Pos DIP Switch 1.27mm SMD Half-Pitch - CTS (alt: XKB DSHP04TS-S via JLCPCB)"
"CR1","1","Q10MHz/30ppm/1.62V-3.63V/4P/5x3.2mm(SX5M10.000M20F30TNN_LCSC-C2901522)","OLIMEX_Crystal-FP:5032-4P_HCX-3S","5032","","","","SIT8008BI-82-33E-10.000000G","","","","10MHz MEMS Oscillator 5032 3.3V ±25ppm - SiTime (alt: SX5M10.000M20F30TNN via JLCPCB)"
"D1","1","1N5819S4/SOD123","OLIMEX_Diodes-FP:SOD-123_1C-2A_KA","SOD-123","","","","1N5819HW-7-F","","","","Schottky Diode 40V 1A SOD-123 - Diodes Inc"
"D2","1","LED/RED/0603","LED_SMD:LED_0603_1608Metric","0603","","","","150060RS75000","","","","LED Red 0603 2.0V 20mA - Wurth Elektronik"
"D3","1","B340","Diode_SMD:D_SMC","SMC","","","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","B340A-13-F","","","","Schottky Diode 40V 3A SMC - Diodes Inc"
"FPGA_BUT1,FPGA_RST1,RP-BOOT1,RP-RST1","4","YTS-A016-X","OLIMEX_Buttons-FP:YTS-A016-X","Tact-Switch","","","","PTS645SM43SMTR92 LFS","","","","Tact Switch 6x6mm 4.3mm SMD 160gf - C&K (alt: YTS-A016-X)"
"IC1","1","TUSB1106PWR","New_Libary:SOP65P640X120-16N","TSSOP-16","","","http://www.ti.com/lit/gpn/tusb1106","TUSB1106PWR","595-TUSB1106PWR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TUSB1106PWR?qs=7kv20MEVUlg2%2FxFfZrfm%2FA%3D%3D","","Texas Instruments TUSB1106PWR, USB Transceiver, USB 2.0 at 12Mbit/s, 3.3 V, 5 V, 16-Pin TSSOP"
"J2","1","Conn_02x04_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Horizontal","Pin-Header-2x4","","","","61300821121","","","","Generic connector, double row, 02x04, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)"
"JTAG_LED1","1","LED/YELLOW/0603","OLIMEX_LEDs-FP:LED_0603_KA","0603","","","","150060YS75000","","","","LED Yellow 0603 2.0V 20mA - Wurth Elektronik"
"JUMP_CAP1,JUMP_CAP2,JUMP_CAP3,JUMP_CAP4,JUMP_CAP5,JUMP_CAP6","6","MJ6","OLIMEX_Dummies-FP:MJ6","Jumper-Cap","","","https://store.comet.bg/download-file.php?id=1217","M7583-05","","","","Jumper Shunt 2.54mm - Harwin"
"L1,L2","2","FB0805/600R/2A","OLIMEX_RLC-FP:L_0805_5MIL_DWS","0805","","","","MPZ2012S601AT000","","","","Ferrite Bead 600R@100MHz 2A+ 0805 - TDK"
"L3,L4,L5,L6,L7","5","1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)","OLIMEX_RLC-FP:L_2016_MM","2016","","","","DFE201610S-1R0M","81-DFE201610S1R0MP2","","","Ind 1.0uH 4.2A DCR=35mR 20% 2016 - Murata (Mouser: 81-DFE201610S1R0MP2)"
"Q1","1","Q12MHz/20pF/10ppm/4P/3.2x2.5mm","OLIMEX_Crystal-FP:TSX-3.2x2.5mm_GND(3)","3225","","","","ABM8-12.000MHZ-B2-T","","","","Crystal 12MHz 20pF 10ppm 3225 - Abracon"
